 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Sul
Internações por Município e Macrorregião de Saúde
Período:2008-2025
"Município";"4308 VALES";"4309 SUL";"4310 SERRA";"4311 NORTE";"4312 MISSIONEIRA";"4313 METROPOLITANA";"4314 CENTRO-OESTE";"Total"
"430003 ACEGUA";-;8128;-;-;-;-;-;8128
"430005 AGUA SANTA";-;-;-;5228;-;-;-;5228
"430010 AGUDO";-;-;-;-;-;-;27431;27431
"430020 AJURICABA";-;-;-;-;8840;-;-;8840
"430030 ALECRIM";-;-;-;-;12759;-;-;12759
"430040 ALEGRETE";-;-;-;-;-;-;104886;104886
"430045 ALEGRIA";-;-;-;-;4570;-;-;4570
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;2865;-;-;-;2865
"430050 ALPESTRE";-;-;-;14360;-;-;-;14360
"430055 ALTO ALEGRE";-;-;-;2172;-;-;-;2172
"430057 ALTO FELIZ";-;-;3384;-;-;-;-;3384
"430060 ALVORADA";-;-;-;-;-;272181;-;272181
"430063 AMARAL FERRADOR";-;4179;-;-;-;-;-;4179
"430064 AMETISTA DO SUL";-;-;-;16595;-;-;-;16595
"430066 ANDRE DA ROCHA";-;-;-;1575;-;-;-;1575
"430070 ANTA GORDA";9313;-;-;-;-;-;-;9313
"430080 ANTONIO PRADO";-;-;16530;-;-;-;-;16530
"430085 ARAMBARE";-;-;-;-;-;4905;-;4905
"430087 ARARICA";-;-;-;-;-;9751;-;9751
"430090 ARATIBA";-;-;-;9879;-;-;-;9879
"430100 ARROIO DO MEIO";31183;-;-;-;-;-;-;31183
"430105 ARROIO DO SAL";-;-;-;-;-;10363;-;10363
"430107 ARROIO DO PADRE";-;2125;-;-;-;-;-;2125
"430110 ARROIO DOS RATOS";-;-;-;-;-;19463;-;19463
"430120 ARROIO DO TIGRE";20347;-;-;-;-;-;-;20347
"430130 ARROIO GRANDE";-;23040;-;-;-;-;-;23040
"430140 ARVOREZINHA";-;-;-;17311;-;-;-;17311
"430150 AUGUSTO PESTANA";-;-;-;-;9200;-;-;9200
"430155 AUREA";-;-;-;5304;-;-;-;5304
"430160 BAGE";-;136719;-;-;-;-;-;136719
"430163 BALNEARIO PINHAL";-;-;-;-;-;12476;-;12476
"430165 BARAO";-;-;-;-;-;6571;-;6571
"430170 BARAO DE COTEGIPE";-;-;-;9100;-;-;-;9100
"430175 BARAO DO TRIUNFO";-;-;-;-;-;6615;-;6615
"430180 BARRACAO";-;-;-;6583;-;-;-;6583
"430185 BARRA DO GUARITA";-;-;-;5365;-;-;-;5365
"430187 BARRA DO QUARAI";-;-;-;-;-;-;2793;2793
"430190 BARRA DO RIBEIRO";-;-;-;-;-;11855;-;11855
"430192 BARRA DO RIO AZUL";-;-;-;2457;-;-;-;2457
"430195 BARRA FUNDA";-;-;-;3541;-;-;-;3541
"430200 BARROS CASSAL";-;-;-;14360;-;-;-;14360
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;4199;-;-;-;4199
"430210 BENTO GONCALVES";-;-;120143;-;-;-;-;120143
"430215 BOA VISTA DAS MISSOES";-;-;-;3391;-;-;-;3391
"430220 BOA VISTA DO BURICA";-;-;-;-;9829;-;-;9829
"430222 BOA VISTA DO CADEADO";-;-;-;-;3250;-;-;3250
"430223 BOA VISTA DO INCRA";-;-;-;-;3306;-;-;3306
"430225 BOA VISTA DO SUL";-;-;3940;-;-;-;-;3940
"430230 BOM JESUS";-;-;15158;-;-;-;-;15158
"430235 BOM PRINCIPIO";-;-;15670;-;-;-;-;15670
"430237 BOM PROGRESSO";-;-;-;3788;-;-;-;3788
"430240 BOM RETIRO DO SUL";18623;-;-;-;-;-;-;18623
"430245 BOQUEIRAO DO LEAO";11404;-;-;-;-;-;-;11404
"430250 BOSSOROCA";-;-;-;-;6452;-;-;6452
"430258 BOZANO";-;-;-;-;2327;-;-;2327
"430260 BRAGA";-;-;-;4696;-;-;-;4696
"430265 BROCHIER";-;-;-;-;-;4993;-;4993
"430270 BUTIA";-;-;-;-;-;27379;-;27379
"430280 CACAPAVA DO SUL";49097;-;-;-;-;-;-;49097
"430290 CACEQUI";-;-;-;-;-;-;15810;15810
"430300 CACHOEIRA DO SUL";109003;-;-;-;-;-;-;109003
"430310 CACHOEIRINHA";-;-;-;-;-;136752;-;136752
"430320 CACIQUE DOBLE";-;-;-;7366;-;-;-;7366
"430330 CAIBATE";-;-;-;-;7548;-;-;7548
"430340 CAICARA";-;-;-;8421;-;-;-;8421
"430350 CAMAQUA";-;-;-;-;-;79547;-;79547
"430355 CAMARGO";-;-;-;3550;-;-;-;3550
"430360 CAMBARA DO SUL";-;-;-;-;-;7053;-;7053
"430367 CAMPESTRE DA SERRA";-;-;3269;-;-;-;-;3269
"430370 CAMPINA DAS MISSOES";-;-;-;-;10506;-;-;10506
"430380 CAMPINAS DO SUL";-;-;-;8148;-;-;-;8148
"430390 CAMPO BOM";-;-;-;-;-;87691;-;87691
"430400 CAMPO NOVO";-;-;-;-;8419;-;-;8419
"430410 CAMPOS BORGES";-;-;-;3971;-;-;-;3971
"430420 CANDELARIA";45335;-;-;-;-;-;-;45335
"430430 CANDIDO GODOI";-;-;-;-;13513;-;-;13513
"430435 CANDIOTA";-;7130;-;-;-;-;-;7130
"430440 CANELA";-;-;56451;-;-;-;-;56451
"430450 CANGUCU";-;61311;-;-;-;-;-;61311
"430460 CANOAS";-;-;-;-;-;474716;-;474716
"430461 CANUDOS DO VALE";3254;-;-;-;-;-;-;3254
"430462 CAPAO BONITO DO SUL";-;-;-;2406;-;-;-;2406
"430463 CAPAO DA CANOA";-;-;-;-;-;66045;-;66045
"430465 CAPAO DO CIPO";-;-;-;-;-;-;3539;3539
"430466 CAPAO DO LEAO";-;22479;-;-;-;-;-;22479
"430467 CAPIVARI DO SUL";-;-;-;-;-;4931;-;4931
"430468 CAPELA DE SANTANA";-;-;-;-;-;11407;-;11407
"430469 CAPITAO";5896;-;-;-;-;-;-;5896
"430470 CARAZINHO";-;-;-;89639;-;-;-;89639
"430471 CARAA";-;-;-;-;-;8121;-;8121
"430480 CARLOS BARBOSA";-;-;30921;-;-;-;-;30921
